Listing...
reportbug/stable,now 13.2.0 all [installed]
screen/stable,now 4.9.1-3 amd64 [installed]
sed/stable,now 4.9-2 amd64 [installed]
socat/stable,now 1.8.0.3-1 amd64 [installed]
sqv/stable,now 1.3.0-3 amd64 [installed]
sudo/stable,now 1.9.16p2-3 amd64 [installed]
systemd-resolved/stable-updates,now 257.8-1~deb13u2 amd64 [installed]
systemd-timesyncd/stable-updates,now 257.8-1~deb13u2 amd64 [installed]
sysvinit-utils/stable,now 3.14-4 amd64 [installed]
tar/stable,now 1.35+dfsg-3.1 amd64 [installed]
tcpdump/stable,now 4.99.5-2 amd64 [installed]
texinfo/stable,now 7.1.1-1 all [installed]
traceroute/stable,now 1:2.1.6-1 amd64 [installed]
tzdata/stable,now 2025b-4+deb13u1 all [installed]
unattended-upgrades/stable,now 2.12 all [installed]
util-linux/stable,now 2.41-5 amd64 [installed]
uuid-runtime/stable,now 2.41-5 amd64 [installed]
vim-tiny/stable,now 2:9.1.1230-2 amd64 [installed]
vim/stable,now 2:9.1.1230-2 amd64 [installed]
whiptail/stable,now 0.52.25-1 amd64 [installed]
xinit/stable,now 1.4.2-1 amd64 [installed]
xz-utils/stable,now 5.8.1-1 amd64 [installed]
zlib1g/stable,now 1:1.3.dfsg+really1.3.1-1+b1 amd64 [installed]
zstd/stable,now 1.5.7+dfsg-1 amd64 [installed]
